rank,epsilon_start,epsilon_end,epsilon_decay,mean_finishing_reward,max_reward
1,1.0,0.01,0.999,-64.84200781170632,276.6200657844511
2,0.8,0.1,0.995,-83.00292410601163,299.51320143875967
3,0.8,0.01,0.995,-101.9691139377773,288.4862754133328
4,1.0,0.1,0.99,-105.78708337876938,291.8283097956861
5,0.5,0.05,0.999,-106.0748177189921,278.9293396188052
6,0.8,0.05,0.995,-106.38344783441033,285.34529564680383
7,1.0,0.01,0.99,-106.9985727128719,312.3729361326386
8,0.8,0.05,0.99,-109.87855347682647,275.6929187548681
9,0.8,0.05,0.999,-111.64439891031658,283.8906698105052
10,0.5,0.1,0.999,-113.68149525348045,262.5702495102303
11,0.8,0.01,0.99,-115.93929640884517,282.81794032786826
12,0.5,0.01,0.99,-116.79549761434455,269.57125883278877
13,0.5,0.1,0.99,-121.4797045113995,310.43763401331876
14,0.5,0.05,0.99,-121.52357088391706,289.25985215157067
15,1.0,0.05,0.999,-123.71841601618155,258.1617385340696
16,1.0,0.05,0.995,-128.98764052273046,247.40471160649255
17,1.0,0.1,0.999,-130.01269549626448,258.1617385340696
18,0.5,0.01,0.999,-131.74848907969218,278.9293396188052
19,0.5,0.1,0.995,-132.71171410142267,311.96904822481497
20,0.8,0.1,0.999,-132.81257826224228,294.12161474648525
21,0.5,0.05,0.995,-135.52067504981392,252.82364721594337
22,1.0,0.1,0.995,-137.3170616823118,287.787392835638
23,0.8,0.1,0.99,-137.40959582064016,258.7917055594138
24,0.5,0.01,0.995,-142.14364064904214,274.944350165914
25,1.0,0.01,0.995,-142.76477152284832,282.2683348760171
26,0.8,0.01,0.999,-143.63254817956687,294.98643428115673
27,1.0,0.05,0.99,-154.78036079417654,276.36694543512954
